,date,match,points,team1,team2
0,2023-06-22,https://onefootball.com/es/partido/2352860,"[3, 0]","['Driussi', 'Zardes', 'Fagundez', 'Pereira', 'Wolff', 'Finlay', 'Gallagher', 'Radovanovic', 'Cascante', 'Lima', 'Stuver']","['Velasco', 'Endeley', 'Junqua', 'Cerrillo', 'Quignón', 'Smith', 'Farfan', 'Burgess', 'Ibeagha', 'de Jesus Rocha', 'Paes']"
1,2023-06-22,https://onefootball.com/es/partido/2385567,"[2, 2]","['Kaito Abe', 'Shohei Aihara', 'Takuro Ezaki', 'Rei Hirakawa', 'Shuhei Kamimura', 'Rimu Matsuoka', 'Yuki Omoto', 'Ryotaro Onishi', 'Takuya Shimamura', 'Yuhi Takemoto', 'Ryuga Tashiro']","['Takuma Abe', 'Ryota Araki', 'Shiryu Fujiwara', 'Sho Iwamoto', 'Keiji Kagiyama', 'Mu Kanazaki', 'Rin Morita', 'Junto Taguchi', 'Takayuki Takayasu', 'Yu Tomidokoro', 'Makito Uehara']"
2,2023-06-22,https://onefootball.com/es/partido/2385566,"[4, 1]","['Mizuki Arai', 'Kento Hashimoto', 'Akinori Ichikawa', 'Sho Ito', 'Takumi Nakamura', 'Taiga Nishiyama', 'Koki Sakamoto', 'Kazuma Takai', 'Eijiro Takeda', 'Takuya Wada', 'Towa Yamane']","['Daisuke Fukagawa', 'Agashi Inaba', 'Toi Kagami', 'Sota Kiri', 'Koki Matsubara', 'Takuto Minami', 'Tsuyoshi Miyaichi', 'Ryo Saito', 'Tatsuya Tabira', 'Masashi Wada', 'Tsubasa Yuge']"
3,2023-06-22,https://onefootball.com/es/partido/2384620,"[5, 1]","['Juan Alegría', 'Florian Baak', 'Roman Eremenko', 'Aldayr Hernandez', 'Florian Krebs', 'Mateo Ortíz', 'Paunio Roope', 'Lucas Kaufmann', 'Matias Rale', 'Niilo Saarikivi', 'Elias Äijälä']","['Niko Nurmi', 'Eero Vuorjoki']"
4,2023-06-22,https://onefootball.com/es/partido/2384621,"[0, 0]","['Mikael Anttila', 'Halil Bağcı', 'Frans Grönlund', 'Jonatan Guseff', 'Jesse Huhtala', 'Oskari Jakonen', 'Michael John', 'Mikke Louhela', 'Joonas Meura', 'Roope Pyyskanen', 'Topi Sistonen']","['Mikael Almen', 'Bismark Ampofo', 'Rodrigo Arciero', 'Petteri Forsell', 'Juuso Hamalainen', 'Tommi Jyry', 'Luka Kuittinen', 'Dimitri Legbo', 'Matias Ojala', 'Matias Riikonen', 'Darren Smith']"
5,2023-06-22,https://onefootball.com/es/partido/2384624,"[3, 0]","['Jack De Vries', 'Daan Klinkenberg', 'Johannes Laaksonen', 'Juho Lehtiranta', 'Joni Mäkelä', 'Matias Niemelä', 'Lassi Nurmos', 'Michael Ogungbaro', 'David Ramadingaye', 'Simo Roiha', 'Gabriel Sandberg']","['Enoch Adu', 'Artur Atarah', 'Gerson Lima', 'Stanislav Efimov', 'Jeannot Esua', 'Fahad Mohamed', 'Abdoulaye Kanté', 'Luc Tabi Manga', 'Alexander Leksell', 'Simon Lindholm', 'Roni Pietsalo']"
6,2023-06-22,https://onefootball.com/es/partido/2345657,"[2, 0]","['Gagua', 'Moistsrapishvili', 'Tsitaishvili', 'Gagnidze', 'Mekvabishvili', 'Guliashvili', 'Kalandadze', 'Gelashvili', 'Sazonov', 'Khvadagiani', 'Kutaladze']","['Neto', 'Carvalho Oliveira', 'Sousa', 'André Almeida', 'Dantas', 'Gonçalves Neves', 'Tavares', 'Lemos Araújo', 'Penetra', 'Natário Ferreira', 'Anssumane Biai']"
7,2023-06-21,https://onefootball.com/es/partido/2372278,"[4, 1]","['Furuhashi', 'Kamada', 'Mitoma', 'Hatate', 'Endo', 'Ito', 'Ito', 'Taniguchi', 'Itakura', 'Sugawara', 'Nakamura']","['Guerrero', 'Cueva', 'Lapadula', 'Peña', 'Yotun', 'Cartagena', 'López', 'Santamaría', 'Zambrano', 'Lora', 'Gallese']"
8,2023-06-21,https://onefootball.com/es/partido/2372257,"[1, 1]","['Cho Gue-sung', 'Lee Jae-sung', 'Lee Kang-in', 'Hwang In-beom', 'Park', 'Hwang Hee-chan', 'Kim Jin-su', 'Ji-Soo', 'Hyun Jung', 'Seol', 'Kim Seung-gyu']","['Gil', 'Osorio', 'Menjívar', 'Orellana', 'Martínez', 'Reyes', 'Roldan', 'Cabalceta', 'Zavaleta', 'Tamacas', 'Romero']"
9,2023-06-21,https://onefootball.com/es/partido/2370381,"[2, 0]","['Elkeson', 'Lin', 'Wu', 'Li', 'Shangyuan', 'Wang', 'Sun', 'Zhunyi', 'Browning', 'Zhang', 'Yan']","['Chihadeh', 'Abu Warda', 'Jaber', 'Rashid', 'Seyam', 'Jondi', 'Saleh', 'Termanini', 'Hamed Mayor', 'Mousa Farawi', 'Hamadeh']"
